transaction_id,customer_id,product_id,store_id,quantity,date,selling_price,revenue
50,3570,406,86,3,09-01-2024,320,960
51,3151,278,19,1,07-03-2024,316,316
52,1606,478,94,3,13-10-2023,527,1581
53,4658,199,29,3,06-08-2024,385,1155
54,2295,496,67,1,21-02-2025,595,595
55,3663,61,96,4,01-07-2024,350,1400
56,4483,190,77,2,22-01-2024,337,674
57,4798,262,9,1,24-04-2025,304,304
58,984,13,87,4,05-07-2023,317,1268
59,352,184,79,3,22-02-2024,458,1374
60,1725,500,83,3,27-03-2025,460,1380
61,1952,462,48,4,06-06-2024,500,2000
62,1280,450,55,2,26-06-2025,458,916
63,1908,234,71,3,17-04-2024,449,1347
64,4849,464,44,3,28-03-2025,287,861
65,1025,295,48,1,08-10-2023,232,232
66,546,366,25,2,18-06-2024,403,806
67,4175,417,80,4,09-03-2024,469,1876
68,2382,385,38,4,03-01-2025,292,1168
69,889,350,53,4,21-03-2024,535,2140
70,1106,203,21,3,30-06-2024,248,744
71,2550,14,78,1,02-01-2025,518,518
72,1991,421,84,1,23-04-2025,157,157
73,3999,37,54,1,19-10-2024,502,502
74,3776,483,52,1,05-02-2024,346,346
75,2813,14,9,1,05-03-2024,518,518
76,921,112,90,3,19-09-2023,97,291
77,4646,150,1,3,19-01-2025,383,1149
78,2062,287,85,1,08-08-2024,266,266
79,4488,82,70,2,20-12-2023,187,374
80,3640,330,30,2,20-02-2024,271,542
81,3166,152,74,4,15-12-2023,478,1912
82,4436,280,92,2,26-02-2024,502,1004
83,2645,160,19,2,26-01-2024,415,830
84,4853,357,41,4,24-11-2023,493,1972
85,1046,182,64,4,23-08-2024,176,704
86,3557,34,59,1,05-06-2024,354,354
87,2682,117,86,3,27-03-2025,358,1074
88,3200,376,23,1,30-04-2024,351,351
89,939,330,82,1,08-01-2024,271,271
90,4944,430,48,1,27-06-2024,137,137
91,442,462,28,3,12-06-2025,500,1500
92,2551,471,32,2,13-07-2024,472,944
93,4226,288,22,2,13-03-2024,418,836
94,597,444,17,4,22-03-2025,106,424
95,1506,303,55,2,26-07-2023,397,794
96,862,127,55,4,19-03-2024,216,864
97,2641,204,96,1,01-09-2024,426,426
98,3732,41,80,4,04-08-2023,282,1128
99,1552,344,43,4,21-11-2024,244,976
100,3237,34,40,3,23-01-2024,354,1062
101,1737,47,24,2,22-12-2023,420,840
102,1450,20,68,3,17-10-2023,249,747
103,265,349,29,4,21-04-2024,504,2016
104,2660,272,58,3,10-10-2023,523,1569
105,2722,372,99,1,30-12-2024,338,338
106,1463,488,26,2,13-09-2023,289,578
107,4253,434,96,2,15-06-2025,234,468
108,1446,106,54,1,08-04-2024,459,459
109,2299,393,14,2,02-11-2023,456,912
110,2926,364,22,4,23-04-2024,232,928
111,1633,434,57,2,20-04-2024,234,468
112,2375,180,4,2,27-05-2025,399,798
113,4991,387,63,4,03-01-2025,256,1024
114,513,458,52,1,22-06-2025,354,354
115,216,168,47,3,04-12-2024,507,1521
116,3332,1,50,3,14-10-2023,517,1551
117,2173,439,86,4,24-05-2024,300,1200
118,3154,263,53,1,22-09-2023,429,429
119,1707,223,55,1,19-09-2023,315,315
120,2107,233,41,1,12-05-2024,474,474
121,1568,397,56,1,24-04-2025,341,341
122,2209,312,23,1,04-05-2024,289,289
123,2332,278,36,3,18-11-2023,316,948
124,2154,16,64,2,14-12-2024,161,322
125,1129,278,22,3,09-07-2023,316,948
126,3511,262,97,2,12-02-2025,304,608
127,4324,117,57,2,21-12-2024,358,716
128,3654,238,89,1,19-09-2023,516,516
129,2366,1,5,4,09-07-2024,517,2068
130,4898,2,54,4,26-11-2024,504,2016
131,2922,219,40,4,27-02-2025,369,1476
132,4568,460,39,2,01-09-2023,312,624
133,1080,70,29,1,19-08-2023,282,282
134,3512,194,83,4,14-05-2025,350,1400
135,2742,37,54,3,03-05-2025,502,1506
136,3021,202,44,4,10-09-2023,150,600
137,229,17,44,3,14-05-2024,230,690
138,171,145,19,2,10-09-2024,366,732
139,295,6,72,3,21-03-2024,234,702
140,4285,385,55,4,29-12-2023,292,1168
141,426,212,31,4,25-08-2023,231,924
142,919,274,98,4,21-03-2025,505,2020
143,3254,137,68,1,11-07-2023,179,179
144,499,32,86,1,10-04-2025,417,417
145,2810,145,61,2,23-08-2024,366,732
146,4962,403,95,2,02-06-2025,577,1154
147,826,49,42,2,01-08-2024,297,594
148,3780,141,4,3,03-01-2024,120,360
149,1859,1,51,2,31-01-2025,517,1034
150,2119,365,30,1,03-10-2023,389,389
151,146,38,82,2,30-09-2024,406,812
152,4566,236,26,2,19-08-2024,325,650
153,3578,38,49,1,06-07-2024,406,406
154,193,36,32,3,02-06-2024,551,1653
155,3889,202,95,1,07-04-2025,150,150
156,52,99,40,2,05-09-2024,227,454
157,2411,282,84,1,17-06-2024,421,421
158,1821,304,73,1,26-02-2025,629,629
159,2965,353,30,2,29-08-2024,554,1108
160,2522,168,81,3,12-10-2023,507,1521
161,1870,200,5,2,24-09-2024,596,1192
162,2569,183,94,1,14-09-2023,325,325
163,1868,404,2,1,26-09-2024,439,439
164,2739,253,34,4,16-03-2024,450,1800
165,3270,2,31,3,18-01-2025,504,1512
166,3200,423,30,4,29-04-2024,378,1512
167,2580,488,26,2,25-09-2023,289,578
168,4006,476,54,4,28-11-2023,264,1056
169,4936,349,9,3,02-02-2024,504,1512
170,241,473,14,4,17-08-2023,459,1836
171,3441,90,85,4,05-11-2024,308,1232
172,4632,456,31,3,25-11-2024,531,1593
173,1408,94,8,1,08-06-2024,282,282
174,3503,317,56,3,06-04-2025,532,1596
175,4039,372,63,4,06-08-2023,338,1352
176,83,442,28,3,15-02-2025,318,954
177,3769,313,85,3,11-09-2024,240,720
178,951,65,97,4,03-01-2024,484,1936
179,611,412,23,2,10-10-2024,230,460
180,4670,94,79,4,17-04-2024,282,1128
181,3606,13,94,4,27-08-2023,317,1268
182,4555,233,23,4,11-09-2024,474,1896
183,3284,433,39,4,25-12-2023,602,2408
184,2174,149,53,3,24-03-2025,278,834
185,3485,61,22,2,03-03-2025,350,700
186,1523,469,84,1,31-03-2025,402,402
187,2602,40,34,3,11-02-2024,404,1212
188,2658,395,87,4,22-07-2023,462,1848
189,2160,91,6,2,14-07-2023,373,746
190,2450,197,59,1,20-01-2025,431,431
191,3831,13,4,1,08-02-2025,317,317
192,122,204,74,2,22-04-2024,426,852
193,4369,424,100,2,06-02-2024,152,304
194,1318,33,12,3,26-02-2025,555,1665
195,4494,442,88,1,08-11-2024,318,318
196,2519,94,5,4,14-01-2025,282,1128
197,1231,451,70,2,24-02-2024,368,736
198,1134,48,99,4,01-12-2023,323,1292
199,1302,471,25,1,21-09-2023,472,472
200,4035,479,5,3,17-07-2024,281,843
201,1911,134,59,1,23-01-2024,295,295
202,1506,331,72,4,28-04-2025,313,1252
203,3186,293,16,2,24-05-2024,419,838
204,1917,295,39,3,17-05-2025,232,696
205,4916,175,60,4,02-07-2024,225,900
206,3549,237,31,2,06-06-2025,285,570
207,2758,421,52,3,19-10-2024,157,471
208,1957,423,80,4,14-01-2024,378,1512
209,179,378,67,3,19-04-2025,438,1314
210,897,371,83,4,16-11-2023,491,1964
211,1552,134,42,2,13-09-2024,295,590
212,492,146,62,4,04-06-2024,488,1952
213,61,449,77,2,23-11-2023,282,564
214,1078,210,77,1,16-05-2024,546,546
215,2896,436,6,4,24-03-2024,488,1952
216,4161,11,23,3,20-03-2025,501,1503
217,3684,234,41,1,01-08-2024,449,449
218,586,390,61,2,02-01-2024,474,948
219,3961,197,6,2,29-10-2023,431,862
220,3771,24,50,1,07-03-2024,501,501
221,535,66,68,3,23-08-2024,331,993
222,3463,240,57,3,07-01-2025,475,1425
223,4012,291,57,2,04-06-2024,261,522
224,3399,226,35,4,06-06-2025,309,1236
225,2156,362,63,3,25-09-2024,295,885
226,1005,2,35,2,12-05-2024,504,1008
227,2500,244,17,2,28-05-2024,586,1172
228,327,140,38,1,01-06-2025,290,290
229,4704,258,42,2,18-11-2024,397,794
230,2707,495,42,2,10-04-2024,490,980
231,2,434,25,1,09-05-2025,234,234
232,1034,291,59,4,30-07-2024,261,1044
233,2482,349,29,1,28-10-2024,504,504
234,125,353,6,2,07-04-2025,554,1108
235,1105,261,14,2,24-04-2025,524,1048
236,2700,363,91,4,03-03-2025,479,1916
237,1862,116,44,1,09-06-2025,407,407
238,2921,107,48,1,14-12-2023,481,481
239,129,59,35,3,21-09-2023,483,1449
240,438,161,70,2,29-07-2023,350,700
241,4847,182,56,1,24-05-2025,176,176
242,2549,103,8,1,02-02-2025,253,253
243,3130,205,30,4,15-01-2025,381,1524
244,1222,287,28,4,25-01-2024,266,1064
245,902,484,27,3,14-09-2024,261,783
246,3169,19,45,1,10-07-2024,455,455
247,4487,281,97,3,29-02-2024,494,1482
248,3919,107,90,3,18-07-2024,481,1443
249,1068,191,16,4,23-05-2024,405,1620
250,27,419,14,2,03-06-2024,494,988
251,548,53,63,2,18-05-2025,440,880
252,2669,37,60,3,03-11-2023,502,1506
253,567,359,88,2,29-07-2024,216,432
254,704,481,57,2,27-07-2023,158,316
255,4281,43,60,2,30-01-2024,454,908
256,3141,387,51,3,01-06-2025,256,768
257,1591,179,95,1,16-04-2025,467,467
258,4944,47,65,4,13-12-2023,420,1680
259,4695,58,84,2,30-11-2023,212,424
260,806,234,46,2,25-09-2023,449,898
261,3792,472,96,3,19-01-2025,528,1584
262,1358,131,22,2,09-09-2024,440,880
263,3226,71,24,3,08-01-2025,527,1581
264,3619,333,99,3,17-03-2024,471,1413
265,2127,255,50,3,22-03-2024,238,714
266,2461,313,66,1,07-09-2023,240,240
267,546,24,6,4,26-10-2023,501,2004
268,2729,102,1,4,14-03-2024,482,1928
269,3735,478,37,1,22-02-2024,527,527
270,2563,325,95,3,02-04-2025,295,885
271,2080,151,1,1,08-03-2024,233,233
272,2642,361,96,2,04-12-2023,266,532
273,3115,172,25,3,14-11-2024,198,594
274,1927,310,50,2,08-10-2024,233,466
275,617,411,57,1,31-03-2025,450,450
276,3645,191,66,3,20-11-2024,405,1215
277,1204,123,41,2,18-03-2024,184,368
278,1760,274,91,3,05-10-2024,505,1515
279,2566,255,6,2,08-06-2025,238,476
280,3175,168,81,3,25-11-2023,507,1521
281,3082,84,44,1,17-06-2025,273,273
282,2631,326,68,3,12-03-2024,428,1284
283,3162,222,38,3,01-02-2024,232,696
284,4322,242,16,3,19-09-2023,552,1656
285,670,125,42,3,05-05-2025,307,921
286,3169,70,84,4,23-08-2024,282,1128
287,2122,370,58,2,17-06-2025,367,734
288,4079,273,100,1,12-11-2023,445,445
289,4152,491,95,4,04-10-2023,340,1360
290,720,181,47,3,05-07-2023,398,1194
291,2601,420,93,4,30-12-2024,234,936
292,3599,448,65,2,28-11-2024,493,986
293,4670,123,20,2,06-10-2023,184,368
294,667,253,61,3,03-07-2024,450,1350
295,284,207,42,4,01-05-2025,511,2044
296,3904,308,27,4,11-10-2024,237,948
297,3566,337,47,2,11-09-2024,171,342
298,2235,25,3,1,20-05-2025,518,518
299,4594,44,32,4,11-08-2024,372,1488
300,1466,478,81,1,10-08-2023,527,527
301,130,491,71,3,06-12-2023,340,1020
302,4735,40,54,4,17-06-2025,404,1616
303,2061,209,64,1,19-12-2024,244,244
304,3673,453,18,2,09-12-2024,475,950
305,2495,379,41,1,23-01-2025,376,376
306,993,44,5,3,18-06-2024,372,1116
307,2122,432,46,1,08-07-2024,400,400
308,2585,441,53,3,05-02-2025,276,828
309,4197,496,51,4,30-09-2023,595,2380
310,2224,113,48,4,27-08-2024,371,1484
311,4523,298,56,2,29-12-2024,525,1050
312,3189,490,3,3,10-08-2023,178,534
313,3238,163,15,3,10-03-2024,126,378
314,4137,139,12,2,20-08-2024,411,822
315,4525,284,34,2,21-07-2023,484,968
316,344,172,3,2,04-05-2025,198,396
317,4462,20,72,2,03-07-2024,249,498
318,4705,128,43,3,08-04-2024,349,1047
319,4824,386,59,1,01-08-2024,178,178
320,2277,105,2,4,20-10-2023,633,2532
321,4921,33,19,4,20-02-2025,555,2220
322,3202,164,37,3,13-12-2023,184,552
323,889,394,96,3,03-10-2023,582,1746
324,2044,444,23,2,09-06-2024,106,212
325,1342,173,17,1,13-10-2023,434,434
326,3721,83,36,3,18-02-2025,421,1263
327,2884,314,64,2,29-12-2023,235,470
328,4213,409,79,1,26-04-2025,419,419
329,2416,381,26,1,10-10-2024,398,398
330,1118,347,69,2,16-05-2025,500,1000
331,4264,35,28,3,02-04-2025,531,1593
332,3002,87,25,4,02-02-2025,610,2440
333,1739,235,59,4,13-10-2023,177,708
334,1365,34,43,1,24-01-2025,354,354
335,2709,136,14,4,15-02-2025,184,736
336,4791,194,59,4,15-10-2024,350,1400
337,925,442,15,2,24-06-2025,318,636
338,152,89,80,4,25-12-2024,171,684
339,586,393,86,4,25-10-2024,456,1824
340,913,217,19,2,09-11-2023,416,832
341,2322,45,78,4,25-03-2024,315,1260
342,496,349,48,2,17-05-2025,504,1008
343,3796,278,99,1,08-02-2025,316,316
344,2149,247,91,3,09-03-2024,352,1056
345,557,142,56,4,17-12-2024,430,1720
346,1553,180,52,4,16-04-2025,399,1596
347,2121,112,78,4,21-06-2024,97,388
348,3086,235,61,3,22-02-2024,177,531
349,3505,48,30,3,10-12-2023,323,969
350,157,331,66,3,30-10-2023,313,939
351,735,242,82,4,08-09-2023,552,2208
352,4655,243,78,4,09-02-2025,341,1364
353,3277,179,73,1,23-03-2025,467,467
354,155,141,86,4,28-10-2023,120,480
355,997,289,12,1,14-03-2024,485,485
356,2295,387,75,1,04-02-2024,256,256
357,4627,239,8,3,12-05-2025,369,1107
358,2906,180,96,4,31-03-2024,399,1596
359,4825,292,23,2,20-12-2023,191,382
360,1178,51,22,1,08-05-2024,142,142
361,154,176,26,2,30-07-2023,384,768
362,4188,170,71,3,13-09-2024,546,1638
363,1717,416,48,3,29-05-2025,177,531
364,3203,484,93,4,03-04-2025,261,1044
365,2858,427,36,3,14-05-2025,252,756
366,787,484,96,2,31-05-2024,261,522
367,4369,227,19,2,09-04-2025,528,1056
368,4273,5,12,2,27-05-2024,538,1076
369,3768,396,41,3,05-02-2024,469,1407
370,2879,467,90,3,08-12-2024,599,1797
371,643,447,64,1,09-11-2023,288,288
372,4663,232,95,4,26-05-2025,254,1016
373,666,253,41,1,11-06-2024,450,450
374,3427,283,77,2,09-05-2025,393,786
375,3784,163,3,4,26-10-2024,126,504
376,3702,384,46,1,04-11-2024,513,513
377,1070,74,93,1,11-09-2023,430,430
378,2350,371,64,2,24-08-2023,491,982
379,4504,28,32,1,01-07-2025,414,414
380,1213,353,92,3,14-08-2023,554,1662
381,1153,431,76,3,01-11-2023,251,753
382,2512,431,84,2,19-09-2024,251,502
383,144,427,5,1,22-05-2025,252,252
384,2490,292,30,1,21-11-2024,191,191
385,3229,99,37,2,27-10-2023,227,454
386,4583,369,11,2,07-12-2024,544,1088
387,4956,17,7,4,30-10-2023,230,920
388,3206,375,62,3,16-10-2023,205,615
389,4244,203,3,1,31-05-2025,248,248
390,3143,164,25,1,24-10-2023,184,184
391,3305,37,37,2,13-12-2024,502,1004
392,1358,146,84,4,23-06-2024,488,1952
393,2714,287,91,1,22-07-2024,266,266
394,4186,483,43,3,10-02-2025,346,1038
395,1358,156,44,4,05-08-2024,445,1780
396,4295,65,8,2,04-03-2024,484,968
397,4634,159,84,2,23-03-2024,194,388
398,3193,116,85,3,04-01-2024,407,1221
399,301,411,99,3,14-03-2025,450,1350
400,724,40,73,3,14-04-2024,404,1212
401,3011,140,87,1,30-11-2024,290,290
402,68,460,31,2,29-05-2024,312,624
403,3837,347,44,3,29-03-2025,500,1500
404,3994,283,60,3,08-08-2024,393,1179
405,2507,189,94,1,18-08-2023,600,600
406,1538,371,25,1,01-05-2025,491,491
407,398,110,94,4,09-11-2023,357,1428
408,4716,337,5,2,24-08-2023,171,342
409,3358,500,26,4,04-03-2024,460,1840
410,1164,153,5,2,09-08-2024,203,406
411,4826,94,81,4,14-03-2024,282,1128
412,556,138,14,1,31-08-2023,504,504
413,3662,360,62,4,15-02-2024,366,1464
414,1752,15,88,1,27-03-2025,510,510
415,2942,378,86,4,19-08-2023,438,1752
416,2658,147,65,4,15-06-2025,94,376
417,2796,68,64,1,02-07-2024,243,243
418,2330,143,93,3,26-09-2024,554,1662
419,1960,229,79,2,07-08-2024,154,308
420,1602,271,31,4,08-06-2024,287,1148
421,2794,97,23,3,04-10-2024,632,1896
422,1481,435,30,3,22-04-2024,352,1056
423,1103,13,25,3,26-02-2024,317,951
424,3277,209,3,4,22-06-2025,244,976
425,1300,467,90,1,30-11-2024,599,599
426,4995,59,14,1,12-03-2025,483,483
427,3880,269,25,4,23-08-2024,361,1444
428,1536,454,42,2,31-07-2024,300,600
429,78,57,39,2,18-12-2023,175,350
430,2832,182,81,4,18-11-2023,176,704
431,3411,296,57,4,26-04-2024,517,2068
432,2722,350,24,4,20-06-2024,535,2140
433,3628,100,78,2,21-05-2024,295,590
434,1533,287,53,4,15-08-2023,266,1064
435,238,437,91,3,30-10-2023,516,1548
436,1997,269,17,1,07-11-2024,361,361
437,3428,280,45,3,27-01-2025,502,1506
438,278,349,62,3,20-02-2025,504,1512
439,3090,497,11,2,25-05-2024,520,1040
440,524,56,14,4,02-06-2024,512,2048
441,4276,302,12,4,25-11-2024,278,1112
442,4219,383,7,3,02-08-2023,527,1581
443,3123,258,33,2,19-10-2023,397,794
444,4576,310,45,1,05-10-2023,233,233
445,1798,80,48,1,02-10-2023,180,180
446,2132,500,53,3,24-11-2024,460,1380
447,816,460,49,1,08-05-2025,312,312
448,2695,284,81,4,13-04-2024,484,1936
449,443,346,18,1,09-05-2025,527,527
450,3141,352,37,4,02-07-2024,395,1580
451,143,189,4,4,29-05-2024,600,2400
452,4288,362,35,4,08-08-2023,295,1180
453,1411,196,57,3,06-02-2025,485,1455
454,4474,133,81,1,11-07-2023,261,261
455,535,17,53,2,23-06-2025,230,460
456,1717,148,16,1,25-07-2023,146,146
457,3365,168,67,4,13-04-2025,507,2028
458,1033,93,83,2,01-04-2024,142,284
459,3343,473,19,2,30-03-2024,459,918
460,1411,82,6,3,02-11-2023,187,561
461,4501,406,83,4,02-07-2025,320,1280
462,1173,309,14,1,12-09-2024,399,399
463,889,328,44,2,04-07-2023,281,562
464,3339,168,59,4,14-03-2024,507,2028
465,4518,431,87,2,22-03-2025,251,502
466,1642,488,13,2,05-06-2024,289,578
467,472,458,93,4,21-11-2023,354,1416
468,2941,209,56,1,14-05-2025,244,244
469,547,46,63,3,07-12-2024,477,1431
470,4727,368,63,1,22-09-2023,162,162
471,3598,442,11,4,30-07-2023,318,1272
472,2826,212,61,1,19-10-2024,231,231
473,3724,283,73,2,09-12-2023,393,786
474,364,2,67,3,13-02-2024,504,1512
475,2167,52,92,2,13-05-2024,630,1260
476,3310,285,74,3,26-04-2025,131,393
477,546,6,29,4,21-09-2024,234,936
478,3241,148,83,4,18-05-2024,146,584
479,4730,485,4,4,07-05-2024,450,1800
480,1937,467,40,4,27-03-2024,599,2396
481,963,331,16,2,01-02-2024,313,626
482,3006,112,63,4,13-10-2024,97,388
483,3807,146,25,3,04-04-2024,488,1464
484,883,103,35,4,28-06-2024,253,1012
485,3841,22,78,3,07-09-2023,492,1476
486,871,435,52,4,09-08-2024,352,1408
487,4612,14,6,4,29-11-2023,518,2072
488,2986,490,13,1,20-04-2024,178,178
489,866,377,85,2,07-03-2025,386,772
490,4310,6,73,3,11-03-2025,234,702
491,3204,277,61,3,01-12-2024,201,603
492,2898,320,3,3,13-05-2025,535,1605
493,2245,264,21,2,09-10-2024,326,652
494,19,274,69,3,05-02-2025,505,1515
495,642,406,68,3,22-03-2024,320,960
496,3084,198,5,1,01-07-2024,213,213
497,330,119,3,2,23-04-2024,182,364
498,866,355,47,4,08-01-2024,389,1556
499,774,182,48,3,14-11-2023,176,528
500,4488,163,84,1,31-10-2024,126,126
501,4733,366,74,3,06-08-2024,403,1209
502,2355,301,45,1,01-04-2024,261,261
503,3339,181,37,1,23-02-2025,398,398
504,3519,310,4,2,02-02-2024,233,466
505,2943,185,35,4,09-06-2024,298,1192
506,2568,73,82,2,12-12-2023,258,516
507,1675,80,79,4,26-03-2025,180,720
508,2684,203,2,3,05-01-2024,248,744
509,3381,48,47,4,30-03-2024,323,1292
510,740,469,61,4,23-06-2024,402,1608
511,1546,298,100,4,05-10-2023,525,2100
512,4565,279,87,1,11-04-2025,550,550
513,2260,182,6,1,21-07-2024,176,176
514,1136,62,73,3,17-04-2024,325,975
515,874,186,89,4,16-02-2024,349,1396
516,4556,429,41,4,04-05-2025,217,868
517,2301,212,100,1,07-08-2024,231,231
518,752,337,17,4,15-12-2024,171,684
519,854,479,90,1,05-09-2023,281,281
520,3733,500,10,2,22-07-2023,460,920
521,2284,338,70,3,06-05-2025,427,1281
522,1330,285,88,2,23-05-2025,131,262
523,478,432,100,2,06-08-2023,400,800
524,2727,160,80,3,25-02-2025,415,1245
525,3092,392,63,4,01-04-2024,470,1880
526,4231,50,45,1,19-07-2024,277,277
527,4506,393,12,2,24-05-2025,456,912
528,1270,122,73,3,11-04-2025,198,594
529,4182,302,49,2,13-04-2025,278,556
530,2604,134,2,1,06-05-2025,295,295
531,1470,325,86,1,01-02-2025,295,295
532,378,429,17,4,12-04-2025,217,868
533,1681,205,59,2,16-01-2025,381,762
534,242,153,7,4,11-02-2025,203,812
535,920,351,20,3,19-10-2023,466,1398
536,70,226,100,2,28-03-2024,309,618
537,3925,465,81,1,21-01-2025,163,163
538,2087,57,60,4,29-02-2024,175,700
539,2008,154,98,3,12-08-2024,529,1587
540,801,340,74,2,11-11-2024,404,808
541,2780,114,61,2,19-10-2024,340,680
542,4921,6,74,2,18-04-2024,234,468
543,756,96,61,1,16-02-2025,498,498
544,1996,481,16,3,16-03-2025,158,474
545,1322,59,17,1,03-01-2024,483,483
546,2331,468,21,4,09-04-2024,152,608
547,110,495,43,3,28-07-2024,490,1470
548,1017,316,85,3,02-12-2023,354,1062
549,3866,11,94,2,13-05-2025,501,1002
550,25,47,1,4,22-07-2024,420,1680
551,4939,308,11,4,21-12-2023,237,948
552,2839,266,31,3,21-11-2024,545,1635
553,738,427,91,2,04-01-2025,252,504
554,180,167,82,3,06-03-2025,280,840
555,232,467,65,2,19-11-2024,599,1198
556,1918,411,42,3,11-11-2024,450,1350
557,343,424,32,1,24-07-2024,152,152
558,4573,482,7,3,09-03-2024,442,1326
559,2624,292,73,4,05-05-2024,191,764
560,455,376,90,1,01-05-2025,351,351
561,4385,148,33,4,27-03-2024,146,584
562,4626,46,13,1,29-02-2024,477,477
563,2277,69,7,4,12-12-2024,192,768
564,596,74,100,2,20-12-2024,430,860
565,3875,63,40,3,28-03-2025,547,1641
566,4531,160,88,3,08-05-2024,415,1245
567,4978,168,78,1,21-02-2025,507,507
568,4498,168,73,1,11-09-2024,507,507
569,2670,92,85,3,06-04-2025,341,1023
570,2136,413,69,2,21-06-2024,456,912
571,3965,496,7,1,12-03-2025,595,595
572,1566,278,3,4,26-03-2025,316,1264
573,309,457,88,2,20-06-2025,333,666
574,343,322,89,3,09-07-2023,537,1611
575,436,205,17,3,28-08-2024,381,1143
576,177,291,11,2,02-01-2024,261,522
577,139,27,90,3,14-07-2024,402,1206
578,194,447,2,2,19-12-2024,288,576
579,3258,377,94,3,09-12-2024,386,1158
580,3236,158,30,4,22-05-2024,216,864
581,943,29,51,3,13-07-2023,433,1299
582,4621,163,75,4,30-01-2025,126,504
583,3880,37,67,3,07-02-2024,502,1506
584,3114,499,54,2,15-07-2023,238,476
585,2963,154,38,3,01-12-2024,529,1587
586,4837,4,29,4,15-02-2024,275,1100
587,4958,99,68,1,06-08-2023,227,227
588,954,394,32,4,01-04-2025,582,2328
589,1303,404,51,2,03-02-2025,439,878
590,3382,369,16,3,04-07-2024,544,1632
591,2881,188,22,3,05-01-2025,527,1581
592,2188,248,55,4,13-08-2024,234,936
593,4888,10,57,1,18-05-2024,503,503
594,546,30,82,1,23-08-2024,344,344
595,1928,75,75,2,29-06-2024,469,938
596,4153,144,35,4,28-02-2024,430,1720
597,5,391,84,4,08-04-2024,209,836
598,3482,118,72,2,16-08-2024,347,694
599,3254,407,42,3,22-07-2023,94,282
600,1363,40,79,2,24-03-2024,404,808
601,1821,1,52,3,29-05-2025,517,1551
602,2664,301,82,1,04-10-2024,261,261
603,2939,263,53,3,05-11-2024,429,1287
604,1274,382,73,3,12-12-2024,228,684
605,3327,297,70,3,24-12-2024,108,324
606,3660,324,15,3,04-12-2024,191,573
607,2946,2,21,3,25-08-2023,504,1512
608,3019,273,13,3,26-07-2023,445,1335
609,1132,488,70,3,20-04-2025,289,867
610,4764,393,67,1,26-11-2023,456,456
611,2637,139,48,1,27-10-2023,411,411
612,3030,300,5,2,22-11-2023,208,416
613,3020,83,95,2,27-06-2024,421,842
614,4378,440,82,1,24-08-2024,177,177
615,3160,270,94,1,03-04-2024,145,145
616,254,79,94,2,18-08-2023,170,340
617,329,431,41,2,31-07-2024,251,502
618,2592,456,48,1,06-03-2025,531,531
619,2831,187,72,4,06-06-2024,610,2440
620,3045,188,43,4,20-07-2024,527,2108
621,1421,33,16,2,07-05-2024,555,1110
622,3402,440,12,3,03-10-2023,177,531
623,2893,130,88,4,22-05-2024,414,1656
624,655,2,81,1,12-02-2025,504,504
625,760,60,9,2,01-09-2024,440,880
626,1799,404,99,1,03-10-2024,439,439
627,2972,122,92,3,31-05-2024,198,594
628,4512,407,19,3,17-02-2024,94,282
